id,customer_id,machine_group_id,machine_type_id,machine_type_detail_id,machine_tariffplan_id,vendor,model,registration_number,registration_year,construction_year,start_service_year,factory_number,ce,notified_organism_id,carried_weight,max_liters,ps_bar,fluid,producibility,region,province,city,zipcode,address,first_audit_at,last_audit_at,next_audit_at,usage,customer_machine_code,attachment_id,note,state,next_audit_type_code,reg_numb_year,reg_numb_activity_code,reg_numb_code,reg_numb_province,subject_to_startups,panieri_riserva,on_number,is_ped_group,group_factory_number,group_reg_number,ped_category,fluid_type,is_ui_group,ped_reg_numb_year,ped_reg_numb_activity_code,ped_reg_numb_code,ped_reg_numb_province,gvr_category,temp_min,temp_max,fluid_state,address_n,,,,,,,,,,,,,,,,,,,,,,
8,27,NULL,3,14,72,0,0,0,0,0,0,330,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,330,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
11,20,NULL,1,5,7,Merlo,P10.13,,1996,1996,1996,60201,SI,NULL,240,NULL,NULL,NULL,NULL,13,11,4979,10041,Via La Loggia 79,NULL,NULL,2014-10-02,Altro,,NULL,,0,SUCC,C,N,509,96,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
12,186,NULL,2,8,24,OMIS FAC SRL,"C 50/5,64",,2000,2000,2004,11036,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,146,BL,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
13,186,NULL,2,8,24,OMIS FAC SRL,C 50/7,,2000,2000,2004,11037,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,145,BL,0,0,,0,,,,0,0,2004,2,145,BL,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
14,52,NULL,3,11,44,ICEM SpA,115429,,1979,1979,1979,9941,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3946,NULL,,1,FUN_BIEN,1979,0,27040,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
15,52,NULL,3,11,44,I.C.E.M. Spa,115429,,1981,1981,1981,35586,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3947,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1981,0,37841,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
16,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118002,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3948,NULL,Attrezzatura priva di verbale di primo impianto.,1,FUN_BIEN,1986,0,9002,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
17,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118161,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3949,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9161,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
18,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118175,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3950,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9175,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
19,52,NULL,3,11,44,A.Merloni Spa,10,,1987,1987,1987,146889,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3951,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1987,0,13889,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
20,52,NULL,3,11,44,A.Merloni Spa,10,,1988,1988,1988,174042,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,2014-01-28,2024-01-27,steel,3952,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1988,0,11042,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
21,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,NULL,2014-01-28,steel,3953,NULL,,0,SUCC,1989,0,20067,MC,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
22,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,NULL,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata dal solo libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
23,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,NULL,2014-01-29,steel,3953,NULL,,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
24,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata solamente dal libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
25,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,1989,D4760,SI,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2024-01-29,steel,3953,NULL,,1,INT_DEC,1989,0,4760,FG,1,0,100,0,,,,1,0,1989,0,4760,FG,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
26,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,1997-03-07,2024-01-27,steel,3954,NULL,,1,FUN_BIEN,1989,0,20067,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
27,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,236795,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3955,NULL,,1,FUN_BIEN,1989,0,33795,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
28,52,NULL,3,11,44,A.Merloni Spa,11500,,1990,1990,1997,272449,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-07-08,1997-07-08,2024-01-28,steel,3956,NULL,,1,FUN_BIEN,1990,0,27449,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
29,52,NULL,3,11,44,A.Merloni Spa,11500,,1991,1991,1997,314079,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3957,NULL,,1,FUN_BIEN,1991,0,27079,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
30,52,NULL,3,11,44,A.Merloni Spa,11500,,1991,1991,1997,333474,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-07-08,1997-07-08,2024-01-28,steel,3958,NULL,,1,FUN_BIEN,1991,0,46474,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
31,52,NULL,3,11,44,A.Merloni Spa,11500,,1992,1992,1997,345989,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3959,NULL,,1,FUN_BIEN_INT_DEC,1992,0,9989,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
32,52,NULL,3,11,44,ICI Caldaie Spa,123688,,1993,1993,1991,76438,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,1997-03-07,2024-01-28,steel,3960,NULL,,1,FUN_BIEN,1993,0,8668,VR,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
33,52,NULL,3,11,44,Plinoxotar Srl,327270,,1994,1994,1997,97212,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-10-15,1997-10-15,2024-01-28,steel,3961,NULL,,1,FUN_BIEN,1994,0,5747,RM,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
34,265,NULL,3,12,53,GIROLA,,,0,1976,0,2816,NO,NULL,NULL,0,15,0,0,9,40,1941,4011,VIA DELLE SCIENZE 6,NULL,2010-12-09,2016-05-18,steel,,NULL,,0,VIS_INT_BIEN,1976,0,25098,ML,0,0,,0,,,,2,0,,,25098,,IV,NULL,NULL,VAPOR,,,,,,,,,,,,,,,,,,,,,,,
35,56,NULL,2,9,38,Marchetti ,MG 5032,,1991,1991,1991,3690,NO,NULL,50000,NULL,NULL,NULL,NULL,10,78,5743,9023,"S.S. 128 - Km 0,100 - loc. S' Ollastu ",NULL,NULL,2019-05-04,construction,,NULL,,1,SUCC_ANNUALE,1991,0,407,PC,0,0,,0,,,,NULL,0,1991,0,407,PC,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
36,56,NULL,2,9,38,ICOMA,Hyco RT 121,,1983,1983,1983,121356,NO,NULL,28000,NULL,NULL,NULL,NULL,10,78,5743,9023,"S.S. 128 Km 0,100 - loc. S' Ollastu",NULL,NULL,2019-05-04,construction,,NULL,,1,SUCC_ANNUALE,1983,0,860,MI,0,0,,0,,,,NULL,0,1983,0,860,MI,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
37,56,NULL,2,8,36,Effer,58N - 3S,,1994,1994,1994,5E21615,--,NULL,19800,NULL,NULL,NULL,NULL,10,78,5743,9023,SS 131 Km 19,NULL,2013-07-03,2016-10-15,construction,,NULL,PROSSIMA VENTENNALE 18/07/2019,1,SUCC_ANNUALE,1994,0,608,BO,0,0,,0,,,,0,0,1994,0,608,BO,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38,183,NULL,2,8,32,Potain,IGO 21,,0,2003,2009,93987,--,NULL,1800,NULL,NULL,NULL,NULL,10,80,5914,9070,LocalitÃ  Nuraghe Aurras - Zona,NULL,2013-10-09,2014-10-09,construction,,NULL,,0,SUCC_ANNUALE,9,2,929,OR,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
39,183,NULL,2,8,32,Potain,IGO 18,,2008,2008,2009,413502,--,NULL,1800,NULL,NULL,NULL,NULL,10,80,5914,9070,LocalitÃ  Nuraghe Aurras,NULL,2013-10-15,2016-01-08,construction,,NULL,,0,SUCC_ANNUALE,2008,2,35,OR,0,0,,0,,,,0,0,8,2,35,OR,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
40,183,NULL,2,6,9,Manitou,MVT 1340 SL,,0,2004,2011,M E2,--,NULL,4000,NULL,NULL,NULL,NULL,10,80,5914,9070,LocalitÃ  Nuraghe Aurras,NULL,2013-10-23,2014-10-23,construction,,NULL,,0,SUCC_ANNUALE,2011,2,27,OR,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
41,52,NULL,3,11,44,I.C.I. CALDAIE S.P.A.,123688,,1990,1990,2002,61443,NO,NULL,NULL,1750,18,0,0,20,88,8030,54013,LOC. FRACCANO,2002-02-27,2002-02-27,2024-06-15,steel,3160,NULL,,1,INT_DEC,1990,0,10583,VR,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
42,52,NULL,3,11,44,FASERBATOI S.P.A.,,,1988,1988,1989,2951,NO,NULL,NULL,1750,17,0,0,20,88,6960,54024,LOC TROPPOLA,1989-05-05,1998-12-02,2024-10-14,steel,3158,NULL,c/o ALLIANZ SPA TENUTA DI SCHEGGIA,1,INT_DEC,1988,0,2951,FG,0,0,100,0,,,,1,0,1988,0,2951,FG,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
43,52,NULL,3,11,44,ANTONIO MERLONI SPA,11500,,1992,1992,1997,340201,NO,NULL,NULL,1750,17,0,0,20,88,6964,54028,"VIA PALOMBARETTO, 30/G",1997-04-29,1997-04-29,2024-09-24,steel,3161,NULL,,1,INT_DEC,1992,0,4201,MC,0,0,100,0,,,,1,0,1992,0,4201,MC,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
44,52,NULL,3,11,43,OTAR DI SETTIMI,298350,,1990,1990,1990,48304,NO,NULL,NULL,990,17,0,0,20,88,6975,54039,"VIA G. LUNGHI, 63 ",1990-06-11,2002-07-17,2024-10-14,steel,3162,NULL,c/o BIGI SAS DI BIGI ALVIERO & C.,1,INT_DEC,1990,0,280,RM,0,0,100,0,,,,1,0,1990,0,280,RM,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
45,52,NULL,3,11,44,NOVOGAS C/O LIOTARD SA,,,1990,1990,1990,1013,NO,NULL,NULL,1750,18,0,0,20,88,6975,54039,STR MULINO CAPUZZOLA RESINA,1994-02-04,1994-04-07,2014-02-04,steel,3163,NULL,,1,INT_DEC,1990,0,3316,EE,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
46,52,NULL,3,11,44,FASERBATOI S.P.A.,77432,,1992,1992,1992,4278,NO,NULL,NULL,1750,18,0,0,20,88,6964,54028,VIA DEL SOLE ADOLFO,2002-11-10,2002-11-10,2024-05-18,steel,3164,NULL,,1,INT_DEC,1992,0,4278,FG,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
47,52,NULL,3,11,42,I.C.E.M SPA,115429,,1976,1976,1987,18040,NO,NULL,NULL,990,18,0,0,20,88,6975,54039,"STR. TIBERINA NORD, 70/A",1987-06-23,1993-06-14,2014-02-04,steel,3165,NULL,,1,INT_DEC,1976,0,19386,MC,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
48,52,NULL,3,11,43,I.C.I. SPA,123688,,1985,1985,1985,33929,NO,NULL,NULL,990,18,0,0,20,88,6975,54039,"VIA SELVETTE, 11",1992-05-29,1992-05-29,2024-09-24,steel,3166,NULL,,1,INT_DEC,1985,0,7630,VR,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
49,52,NULL,3,11,44,I.C.I. SPA,123688,,1984,1984,1994,28280,NO,NULL,NULL,5000,18,0,0,20,88,6969,54033,LOC CORVO,1994-12-15,1994-12-15,2024-06-16,steel,3167,NULL,,1,INT_DEC,1984,0,5529,VR,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
50,52,NULL,3,11,44,C. S.C. SRL,54531,,1990,1990,0,13182,NO,NULL,NULL,2500,18,0,0,20,88,8030,54013,"LOC. LA CASA, 1",2001-04-27,2001-04-27,2014-02-04,steel,3168,NULL,,1,INT_DEC,1990,0,5053,AL,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
51,52,NULL,3,11,44,OTAR DI SETTIMI,298350,,1988,1988,0,36143,NO,NULL,NULL,5000,18,0,0,20,88,6955,54018,VIA S. LORENZO LA VALLE,1990-06-20,1998-04-01,2014-02-04,steel,3169,NULL,,1,INT_DEC,1988,0,12609,RM,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
52,52,NULL,3,11,44,I.C.I. CALDAIE S.P.A.,123688,,1990,1990,0,61776,NO,NULL,NULL,3000,18,0,0,20,88,6963,54027,"LOC. S. ORSOLA, 140",2000-03-21,2000-03-21,2024-05-21,steel,3170,NULL,,1,INT_DEC,1990,0,12526,VR,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
53,52,NULL,3,11,44,A. MERLONI SPA,10,,1989,1989,0,239841,NO,NULL,NULL,1750,18,0,0,20,88,6991,54056,"LOC. NICCONE, 173",1990-09-26,1998-08-06,2024-06-18,steel,3171,NULL,,1,INT_DEC,1989,0,36841,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
54,52,NULL,3,11,44,A. MERLONI SPA,10,,1985,1985,0,105924,NO,NULL,NULL,3000,18,0,0,20,88,6977,54041,LOC. SANTA CERTA,1987-08-17,1993-10-07,2024-06-16,steel,3183,NULL,,1,INT_DEC,1985,0,21924,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
55,52,NULL,3,11,43,DI ZIO SPA,,,1983,1983,0,5383,NO,NULL,NULL,990,18,0,0,20,88,6991,54056,LOC. PIERANTONIO,1985-09-26,1985-09-26,2024-06-17,steel,3181,NULL,,1,INT_DEC,1983,0,367,PE,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
56,52,NULL,3,11,44,PROVIDES METALMECCANICA,332825,,1989,1989,1998,11296,NO,NULL,NULL,1750,18,0,0,20,88,6960,54024,LOC. BARONCELLI COLLONATA,1998-01-30,1998-01-30,2014-05-15,steel,3172,NULL,,1,INT_DEC,1989,0,1196,LT,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
57,52,NULL,3,11,44,A. MERLONI SPA,10,,1986,1986,1987,114390,NO,NULL,NULL,3000,17,0,0,20,88,6975,54039,"VIA VESTRICCIANO GENNA, 2",1987-06-01,2000-10-12,2024-10-14,steel,3173,NULL,c/o BIGI SAS DI BIGI ALVIERO & C.,1,INT_DEC,1986,0,5390,MC,0,0,100,0,,,,1,0,1986,0,5390,MC,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
58,52,NULL,3,11,43,FASERBATOI S.P.A.,77432,,1986,1986,1997,A3127,NO,NULL,NULL,1000,18,0,0,20,88,6980,54044,"VIA G.PASTORE, 60",1997-04-14,1997-04-14,2014-02-05,steel,3175,NULL,,1,INT_DEC,1986,0,3127,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
